Question Name,Question Description,Question Examples
Second Largest,"Given an array arr, return the second largest distinct element from an array. If the second largest element doesn't exist then return -1.
Examples:
Expected Time Complexity: O(n)
Expected Auxiliary Space: O(1)
Constraints:
2 ≤ arr.size() ≤ 105
1 ≤ arri ≤ 105","['Input: arr = [12, 35, 1, 10, 34, 1]\nOutput: 34\nExplanation: The largest element of the array is 35 and the second largest element is 34.\nInput: arr = [10, 10]\nOutput: -1\nExplanation: The largest element of the array is 10 and the second largest element does not exist so answer is -1.']"
Rotate Array,"Given an unsorted array arr[] of size n. Rotate the array to the left (counter-clockwise direction) by d steps, where d is a positive integer. 
Examples :
Example 2:
Your Task:
You need not print or read anything. You need to complete the function rotateArr() which takes the array, d and n as input parameters and rotates the array by d elements. The array must be modified in-place without using extra space.
Expected Time Complexity: O(N)
Expected Auxiliary Space: O(1)
Constraints:
1 <= n <= 106
1 <= d <= 106
0 <= arr[i] <= 105","['Input: n = 5, d = 2 arr[] = {1,2,3,4,5}\nOutput: 3 4 5 1 2\nExplanation: 1 2 3 4 5  when rotated by 2 elements, it becomes 3 4 5 1 2.', 'Input: n = 10, d = 3 arr[] = {2,4,6,8,10,12,14,16,18,20}\nOutput: 8 10 12 14 16 18 20 2 4 6\nExplanation: 2 4 6 8 10 12 14 16 18 20 when rotated by 3 elements, it becomes 8 10 12 14 16 18 20 2 4 6.']"
Count of smaller elements,"Given an unsorted array arr. Find the count of elements less than or equal to the given element x.
Examples:
Expected Time Complexity: O(n)
Expected Auxiliary Space: O(1)
Constraints:
1 <= arr.size() <= 105
1 <= ai <= 105
0 <= x <= 105","['Input: x = 9, arr = [10, 1, 2, 8, 4, 5] \nOutput: 5\nExplanation: The 5 elements are 1, 2, 8, 4 and 5.\nInput: x = 2, arr = [1, 2, 2, 5, 7, 2, 9] \nOutput: 4\nExplanation: The 4 elements are 1, 2, 2 and 2.']"
Remove duplicate elements from sorted Array,"Given a sorted array arr. Return the size of the modified array which contains only distinct elements.
Note:
1. Don't use set or HashMap to solve the problem.
2. You must return the modified array size only where distinct elements are present and modify the original array such that all the distinct elements come at the beginning of the original array.
Examples :
Expected Time Complexity: O(n)
Expected Auxiliary Space: O(1)
Constraints:
1 ≤ arr.size() ≤ 105
1 ≤ ai ≤ 106","['Input: arr = [2, 2, 2, 2, 2]\nOutput: [2]\nExplanation: After removing all the duplicates only one instance of 2 will remain i.e. [2] so modified array will contains 2 at first position and you should return 1 after modifying the array, the driver code will print the modified array elements.\nInput: arr = [1, 2, 4]\nOutput: [1, 2, 4]\nExplation: As the array does not contain any duplicates so you should return 3.']"
Count the number of possible triangles,"Given an unsorted array arr[] of n positive integers. Find the number of triangles that can be formed with three different array elements as lengths of three sides of triangles. 
Example 1:
Example 2:
 
Your Task: 
This is a function problem. You only need to complete the function findNumberOfTriangles() that takes arr[] and n as input parameters and returns the count of total possible triangles.

Expected Time Complexity: O(n2).
Expected Space Complexity: O(1).

Constraints:
3 <= n <= 103
1 <= arr[i] <= 103","['Input: \nn = 3\narr[] = {3, 5, 4}\nOutput: \n1\nExplanation: \nA triangle is possible \nwith all the elements 5, 3 and 4.', 'Input: \nn = 5\narr[] = {6, 4, 9, 7, 8}\nOutput: \n10\nExplanation: \nThere are 10 triangles\npossible with the given elements like\n(6,4,9), (6,7,8),...']"
Array Leaders,"Given an array arr of n positive integers, your task is to find all the leaders in the array. An element of the array is considered a leader if it is greater than all the elements on its right side or if it is equal to the maximum element on its right side. The rightmost element is always a leader.
Examples
Expected Time Complexity: O(n)
Expected Auxiliary Space: O(n)
Constraints:
1 <= n <= 107
0 <= arr[i] <= 107","['Input: n = 6, arr[] = {16,17,4,3,5,2}\nOutput: 17 5 2\nExplanation: Note that there is nothing greater on the right side of 17, 5 and, 2.\nInput: n = 5, arr[] = {10,4,2,4,1}\nOutput: 10 4 4 1\nExplanation: Note that both of the 4s are in output, as to be a leader an equal element is also allowed on the right. side\nInput: n = 4, arr[] = {5, 10, 20, 40}\nOutput: 40\nExplanation: When an array is sorted in increasing order, only the rightmost element is leader.\nInput: n = 4, arr[] = {30, 10, 10, 5}\nOutput: 30 10 10 5\nExplanation: When an array is sorted in non-increasing order, all elements are leaders.']"
Minimum distance in an Array,"You are given an array a, of n elements. Find the minimum index based distance between two distinct elements of the array, x and y. Return -1, if either x or y does not exist in the array.
Example 1:
Example 2:
Your Task:
Complete the function minDist() which takes the array a, and 3 integers n, x and y as input parameters and returns the minimum distance between x and y in the array. Return -1, if either x or y does not exist in the array.
Expected Time Complexity: O(N)
Expected Auxiliary Space: O(1)
Constraints:
1 <= n <= 105
0 <= a[i], x, y <= 105
x != y","['Input:\nN = 4\nA[] = {1,2,3,2}\nx = 1, y = 2\nOutput: 1\nExplanation: x = 1 and y = 2. There are\ntwo distances between x and y, which are\n1 and 3 out of which the least is 1.', ""Input:\nN = 7\nA[] = {86,39,90,67,84,66,62}\nx = 42, y = 12\nOutput: -1\nExplanation: x = 42 and y = 12. We return\n-1 as x and y don't exist in the array.""]"
Sorted subsequence of size 3,"Given an array arr, find any 3 elements in it such that arr[i] < arr[j] < arr[k] and i < j < k.
Note: The output will be 1 if the subsequence returned by the function is present in the array arr or else 0. If the subsequence returned by the function is not in the format as mentioned then the output will be -1.
Examples :
Expected Time Complexity: O(n)
Expected Auxiliary Space: O(n)
Constraints:
1 <= arr.size() <= 105
1 <= arr[i] <= 106, for each valid i","['Input: arr = [1, 2, 1, 1, 3]\nOutput: 1\nExplanation: A Subsequence 1 2 3 exist.\nInput: arr = [1, 1, 3]\nOutput: 0\nExplanation: No such Subsequence exist.']"
Maximum Sub Array,"Find out the maximum sub-array of non negative numbers from an array.
The sub-array should be contiguous i.e., a sub-array created by choosing the second and fourth element and skipping the third element is invalid.
Maximum sub-array is defined in terms of the sum of the elements in the sub-array. Sub-array A is greater than sub-array B if sum(A) > sum(B).
Example:
a = [1, 2, 5, -7, 2, 3]
The two sub-arrays are [1, 2, 5] [2, 3].
The answer is [1, 2, 5] as its sum is larger than [2, 3]
NOTE: If there is a tie, then compare with segment's length and return segment which has maximum length.
If there is still a tie, then return the segment with minimum starting index.
If no such subarray is present return ""-1""
Examples:
Expected Time Complexity: O(N)
Expected Auxiliary Space: O(1)
Constraints:
1 ≤ N ≤ 105
-105 ≤ A[i] ≤ 105","['Input:\nn = 3\na[] = {1, 2, 3}\nOutput: 1 2 3\nExplanation: In the given array every\nelement is non-negative.\nInput:\nn = 2\na[] = {-1, 2}\nOutput: 2\nExplanation: The only subarray [2] is\nthe answer.']"
Majority Element,"Given an array A of N elements. Find the majority element in the array. A majority element in an array A of size N is an element that appears strictly more than N/2 times in the array.
 
Example 1:
Example 2:
Your Task:
The task is to complete the function majorityElement() which returns the majority element in the array. If no majority exists, return -1.
 
Expected Time Complexity: O(N).
Expected Auxiliary Space: O(1).
 
Constraints:
1 ≤ N ≤ 107
0 ≤ Ai ≤ 106","['Input:\nN = 3 \nA[] = {1,2,3} \nOutput:\n-1\nExplanation:\nSince, each element in \n{1,2,3} appears only once so there \nis no majority element.', 'Input:\nN = 5 \nA[] = {3,1,3,3,2} \nOutput:\n3\nExplanation:\nSince, 3 is present more\nthan N/2 times, so it is \nthe majority element.']"
Wave Array,"Given a sorted array arr[] of distinct integers. Sort the array into a wave-like array(In Place). In other words, arrange the elements into a sequence such that arr[1] >= arr[2] <= arr[3] >= arr[4] <= arr[5].....
If there are multiple solutions, find the lexicographically smallest one.
Note: The given array is sorted in ascending order, and you don't need to return anything to change the original array.
Examples:
Expected Time Complexity: O(n).
Expected Auxiliary Space: O(1).
Constraints:
1 ≤ n ≤ 106
0 ≤ arr[i] ≤107","['Input: n = 5, arr[] = {1,2,3,4,5}\nOutput: 2 1 4 3 5\nExplanation: Array elements after sorting it in the waveform are 2 1 4 3 5.\nInput: n = 6, arr[] = {2,4,7,8,9,10}\nOutput: 4 2 8 7 10 9\nExplanation: Array elements after sorting it in the waveform are 4 2 8 7 10 9.']"
Maximum Index,"Given an array arr of positive integers. The task is to return the maximum of j - i subjected to the constraint of arr[i] < arr[j] and i < j.
Examples:
Expected Time Complexity: O(n)
Expected Auxiliary Space: O(n)
Constraints:
1 ≤ arr.size ≤ 106
0 ≤ arr[i] ≤ 109","['Input: arr[] = [1, 10]\nOutput: 1\nExplanation: arr[0] < arr[1] so (j-i) is 1-0 = 1.\nInput: arr[] = [34, 8, 10, 3, 2, 80, 30, 33, 1]\nOutput: 6\nExplanation: In the given array arr[1] < arr[7] satisfying the required condition(arr[i] < arr[j]) thus giving the maximum difference of j - i which is 6(7-1).']"
Max sum path in two arrays,"Given two sorted arrays of distinct integers arr1 and arr2. Each array may have some elements in common with the other array. Find the maximum sum of a path from the beginning of any array to the end of any of the two arrays. We can switch from one array to another array only at the common elements. Both the arrays are sorted.

Note: Only one repeated value is considered in the valid path sum.
Examples : 
Constraints:
1 <= arr1.size(),arr2.size() <= 104
1 <= arr1[i], arr2[i] <= 104","['Input: arr1 = [2, 3, 7, 10, 12] , arr2 = [1, 5, 7, 8]\nOutput: 35\nExplanation: The path will be 1+5+7+10+12= 35 , where 1 , 5 comes from arr2 and then 7 is common so we can switch to another array arr1 and add\n10 , 12 to it too .\nInput: arr1 = [1, 2, 3] , arr2[] = [3, 4, 5]\nOutput: 15\nExplanation: The path will be 1+2+3+4+5=15.\nExpected Time Complexity: O(m + n)\nExpected Auxiliary Space: O(1)']"
Product array puzzle,"Given an array nums[] of size n, construct a Product Array P (of same size n) such that P[i] is equal to the product of all the elements of nums except nums[i].
 
Example 1:
Example 2:
Your Task:
You do not have to read input. Your task is to complete the function productExceptSelf() that takes array nums[] and n as input parameters and returns a list of n integers denoting the product array P. If the array has only one element the returned list should should contains one value i.e {1}
Note: Try to solve this problem without using the division operation.
 
Expected Time Complexity: O(n)
Expected Auxiliary Space: O(n)
 
Constraints:
1 <= n <= 1000
0 <= numsi <= 200
Array may contain duplicates.","['Input:\nn = 5\nnums[] = {10, 3, 5, 6, 2}\nOutput:\n180 600 360 300 900\nExplanation: \nFor i=0, P[i] = 3*5*6*2 = 180.\nFor i=1, P[i] = 10*5*6*2 = 600.\nFor i=2, P[i] = 10*3*6*2 = 360.\nFor i=3, P[i] = 10*3*5*2 = 300.\nFor i=4, P[i] = 10*3*5*6 = 900.', 'Input:\nn = 2\nnums[] = {12,0}\nOutput:\n0 12']"
Array Duplicates,"Given an array arr of size n which contains elements in range from 0 to n-1, you need to find all the elements occurring more than once in the given array. Return the answer in ascending order. If no such element is found, return list containing [-1]. 
Note: Try and perform all operations within the provided array. The extra (non-constant) ) space needs to be used only for the array to be returned.
Examples:
Expected Time Complexity: O(n).
Expected Auxiliary Space: O(n).
Constraints:
0 <= arr[i] <= n-1, for each valid i
1 <= n <= 105","['Input: arr[] = {0,3,1,2}, n = 4\nOutput: -1\nExplanation: There is no repeating element in the array. Therefore output is -1.\nInput: arr[] = {2,3,1,2,3}, n = 5\nOutput: 2 3 \nExplanation: 2 and 3 occur more than once in the given array.']"
Missing And Repeating,"Given an unsorted array arr of size n of positive integers. One number 'A' from set {1, 2,....,N} is missing and one number 'B' occurs twice in array. Find these two numbers.
Your task is to complete the function findTwoElement() which takes the array of integers arr and n as parameters and returns an array of integers of size 2 denoting the answer (The first index contains B and second index contains A)
Examples
Expected Time Complexity: O(n)
Expected Auxiliary Space: O(1)
Constraints:
2 ≤ n ≤ 105
1 ≤ arr[i] ≤ n","['Input: n = 2 arr[] = {2, 2}\nOutput: 2 1\nExplanation: Repeating number is 2 and smallest positive missing number is 1.\nInput: n = 3 arr[] = {1, 3, 3} \nOutput: 3 2\nExplanation: Repeating number is 3 and smallest positive missing number is 2.']"
Stock buy and sell,"The cost of stock on each day is given in an array A[] of size N. Find all the segments of days on which you buy and sell the stock such that the sum of difference between sell and buy prices is maximized. Each segment consists of indexes of two elements, first is index of day on which you buy stock and second is index of day on which you sell stock.
Note: Since there can be multiple solutions, the driver code will print 1 if your answer is correct, otherwise, it will return 0. In case there's no profit the driver code will print the string ""No Profit"" for a correct solution.

Example 1:
Example 2:
Your Task:
The task is to complete the function stockBuySell() which takes an array of A[] and N as input parameters and finds the days of buying and selling stock. The function must return a 2D list of integers containing all the buy-sell pairs i.e. the first value of the pair will represent the day on which you buy the stock and the second value represent the day on which you sell that stock. If there is No Profit, return an empty list.
Expected Time Complexity: O(N)
Expected Auxiliary Space: O(N)
Constraints:
2 ≤ N ≤ 106
0 ≤ A[i] ≤ 106","['Input:\nN = 7\nA[] = {100,180,260,310,40,535,695}\nOutput:\n1\nExplanation:\nOne possible solution is (0 3) (4 6)\nWe can buy stock on day 0,\nand sell it on 3rd day, which will \ngive us maximum profit. Now, we buy \nstock on day 4 and sell it on day 6.', 'Input:\nN = 5\nA[] = {4,2,2,2,4}\nOutput:\n1\nExplanation:\nThere are multiple possible solutions.\none of them is (3 4)\nWe can buy stock on day 3,\nand sell it on 4th day, which will \ngive us maximum profit.']"
Trapping Rain Water,"Given an array arr[] of N non-negative integers representing the height of blocks. If width of each block is 1, compute how much water can be trapped between the blocks during the rainy season. 
 
Example 1:
Example 2:
Example 3:
Your Task:
You don't need to read input or print anything. The task is to complete the function trappingWater() which takes arr[] and N as input parameters and returns the total amount of water that can be trapped.
Expected Time Complexity: O(N)
Expected Auxiliary Space: O(N)
Constraints:
3 < N < 106
0 < Ai < 108","['Input:\nN = 6\narr[] = {3,0,0,2,0,4}\nOutput:\n10\nExplanation:', 'Input:\nN = 4\narr[] = {7,4,0,9}\nOutput:\n10\nExplanation:\nWater trapped by above \nblock of height 4 is 3 units and above \nblock of height 0 is 7 units. So, the \ntotal unit of water trapped is 10 units.', 'Input:\nN = 3\narr[] = {6,9,9}\nOutput:\n0\nExplanation:\nNo water will be trapped.']"
Pair with given sum in a sorted array,"You are given an integer k and an array arr[]. You have to find numbers of pairs in array arr[] which sums up to k. It is given that the elements of the array arr[] are distinct and in sorted order.
Note: pair {a, b} and pair {b, a} are considered the same. Also, an element cannot pair with itself, i.e., pair {a, a} is invalid.
Examples :
Expected Time Complexity: O(n).
Expected Auxiliary Space: O(1).
Constraints:
0 <= k <=107
2 <= arr.size() <= 104
0 <= arr[i] <= 107","['Input: k = 8, arr[] = [1, 2, 3, 4, 5, 6, 7]\nOutput: 3\nExplanation: There are 3 pairs which sum up to 8 : {1, 7}, {2, 6}, {3, 5}\nInput: k = 98, arr[] = [1, 2, 3, 4, 5, 6, 7]\nOutput: 0\nExplanation: There are no pairs which sum up to 98.']"
Chocolate Distribution Problem,"Given an array A[ ] of positive integers of size N, where each value represents the number of chocolates in a packet. Each packet can have a variable number of chocolates. There are M students, the task is to distribute chocolate packets among M students such that :
1. Each student gets exactly one packet.
2. The difference between maximum number of chocolates given to a student and minimum number of chocolates given to a student is minimum.
Example 1:
Example 2:
Your Task:
You don't need to take any input or print anything. Your task is to complete the function findMinDiff() which takes array A[ ], N and M as input parameters and returns the minimum possible difference between maximum number of chocolates given to a student and minimum number of chocolates given to a student.
Expected Time Complexity: O(N*Log(N))
Expected Auxiliary Space: O(1)
Constraints:
1 ≤ T ≤ 100
1 ≤ N ≤ 105
1 ≤ Ai ≤ 109
1 ≤ M ≤ N","['Input:\nN = 8, M = 5\nA = {3, 4, 1, 9, 56, 7, 9, 12}\nOutput: 6\nExplanation: The minimum difference between maximum chocolates and minimum chocolates is 9 - 3 = 6 by choosing following M packets :{3, 4, 9, 7, 9}.', 'Input:\nN = 7, M = 3\nA = {7, 3, 2, 4, 9, 12, 56}\nOutput: 2\nExplanation: The minimum difference between maximum chocolates and minimum chocolates is 4 - 2 = 2 by choosing following M packets :{3, 2, 4}.']"
Longest consecutive subsequence,"Given an array of non-negative integers. Find the length of the longest sub-sequence such that elements in the subsequence are consecutive integers, the consecutive numbers can be in any order.
 
Example 1:
Example 2:
Your Task:
You don't need to read input or print anything. Your task is to complete the function findLongestConseqSubseq() which takes the array arr[] and the size of the array as inputs and returns the length of the longest subsequence of consecutive integers. 
Expected Time Complexity: O(R), where R is the maximum integer in the array.
Expected Auxiliary Space: O(N).
Constraints:
1 <= N <= 105
0 <= a[i] <= 105","['Input:\nN = 7\na[] = {2,6,1,9,4,5,3}\nOutput:\n6\nExplanation:\nThe consecutive numbers here\nare 1, 2, 3, 4, 5, 6. These 6 \nnumbers form the longest consecutive\nsubsquence.', 'Input:\nN = 7\na[] = {1,9,3,10,4,20,2}\nOutput:\n4\nExplanation:\n1, 2, 3, 4 is the longest\nconsecutive subsequence.']"
Three way partitioning,"Given an array of size n and a range [a, b]. The task is to partition the array around the range such that the array is divided into three parts.
1) All elements smaller than a come first.
2) All elements in range a to b come next.
3) All elements greater than b appear in the end.
The individual elements of three sets can appear in any order. You are required to return the modified array.

Note: The generated output is 1 if you modify the given array successfully.
Geeky Challenge: Solve this problem in O(n) time complexity.
Example 1:
Example 2:
Your Task:
You don't need to read input or print anything. The task is to complete the function threeWayPartition() which takes the array array, a, and b as input parameters and modifies the array in place according to the given conditions.

Expected Time Complexity: O(n)
Expected Auxiliary Space: O(1)

Constraints:
1 <= n <= 106
1 <= array[i], a, b <= 109","['Input: \nn = 5\narray[] = {1, 2, 3, 3, 4}\n[a, b] = [1, 2]\nOutput:\n1\nExplanation:\nOne possible arrangement is: {1, 2, 3, 3, 4}. If you return a valid arrangement, output will be 1.', 'Input: \nn = 6 \narray[] = {1, 4, 3, 6, 2, 1}\n[a, b] = [1, 3]\nOutput:\n1\nExplanation:\nOne possible arrangement is: {1, 3, 2, 1, 4, 6}. If you return a valid arrangement, output will be 1.']"
Palindrome String,"Given a string S, check if it is palindrome or not.
Example 1:
Example 2:
Your Task:
You don't need to read input or print anything. Complete the function isPalindrome()which accepts string S and returns an integer value 1 or 0.

Expected Time Complexity: O(Length of S)
Expected Auxiliary Space: O(1)
Constraints:
1 <= Length of S<= 2*105","['Input: S = ""abba""\nOutput: 1\nExplanation: S is a palindrome', 'Input: S = ""abc"" \nOutput: 0\nExplanation: S is not a palindrome']"
Anagram,"Given two strings a and b consisting of lowercase characters. The task is to check whether two given strings are an anagram of each other or not. An anagram of a string is another string that contains the same characters, only the order of characters can be different. For example, act and tac are an anagram of each other. Strings a and b can only contain lower case alphabets.
Note:-
Example 1:
Example 2:
Your Task:
You don't need to read input or print anything. Your task is to complete the function isAnagram() which takes the string a and string b as input parameter and check if the two strings are an anagram of each other. The function returns true if the strings are anagram else it returns false.
Expected Time Complexity:O(|a|+|b|).
Expected Auxiliary Space: O(Number of distinct characters).
Constraints:
1 ≤ |a|,|b| ≤ 105","['Input:a = geeksforgeeks, b = forgeeksgeeks\nOutput: YES\nExplanation: Both the string have same characters with\n same frequency. So, both are anagrams.', 'Input:a = allergy, b = allergic\nOutput: NO\nExplanation: Characters in both the strings are \n  not same, so they are not anagrams.']"
Anagram Palindrome,"Given a string S, Check if characters of the given string can be rearranged to form a palindrome.
Note: You have to return 1 if it is possible to convert the given string into palindrome else return 0. 
Example 1:
Example 2:
Your Task:
You don't need to read input or print anything. Your task is to complete the function isPossible() which takes the string S as input and returns 1 if the string can be converted into a palindrome. Else, it returns 0.
Expected Time Complexity: O(|S|).
Expected Auxiliary Space: O(Distinct Characters).
Constraints:
1 <= |S| <= 106","['Input:\nS = ""geeksogeeks""\nOutput: Yes\nExplanation: The string can be converted\ninto a palindrome: geeksoskeeg', 'Input: \nS = ""geeksforgeeks""\nOutput: No\nExplanation: The given string can\'t be\nconverted into a palindrome.']"
Upper case conversion,"Given a string str, convert the first letter of each word in the string to uppercase. 
Example 1:
Your Task:  
You dont need to read input or print anything. Complete the function transform() which takes s as input parameter and returns the transformed string.
Expected Time Complexity: O(N)
Expected Auxiliary Space: O(N) to store resultant string  
Constraints:
1 <= N <= 104
The original string str only consists of lowercase alphabets and spaces to separate words.
 ","['Input:\nstr = ""i love programming""\nOutput: ""I Love Programming""\nExplanation:\n\'I\', \'L\', \'P\' are the first letters of \nthe three words.']"
Sort the string in descending order,"Given a string str containing only lower case alphabets, the task is to sort it in lexicographically-descending order.
Example 1:
Example 2:
Your Task:  
You don't need to read input or print anything. Your task is to complete the function ReverseSort() which takes the string str as inputs and returns the modified string.

Expected Time Complexity: O(|str|)
Expected Auxiliary Space: O(1)

Constraints:
1 ≤ |str| ≤ 105","['Input: str = ""geeks""\nOutput: ""skgee""\nExplanation: It\'s the lexicographically-\ndescending order.', 'Input: str = ""for""\nOutput: ""rof""\nExplanation: ""rof"" is in\nlexicographically-descending order.']"
Merge two strings,"Given two strings S1 and S2 as input, the task is to merge them alternatively i.e. the first character of S1 then the first character of S2 and so on till the strings end.
NOTE: Add the whole string if other string is empty.
Example 1:
â€‹Example 2:
Your Task:
You don't need to read input or print anything. Your task is to complete the function merge() which takes the strings S1 and S2 as input and returns the resultant string by merging both S1 and S2 alternatively starting from S1.
Expected Time Complexity: O(|S1| + |S2|).
Expected Auxiliary Space: O(1).
Constraints:
1<=|S1|, |S2| <=103","['Input:\nS1 = ""Hello"" S2 = ""Bye""\nOutput: HBeylelo\nExplanation: The characters of both the \ngiven strings are arranged alternatlively.', 'Input: \nS1 = ""abc"", S2 = ""def""\nOutput: adbecf\nExplanation: The characters of both the\ngiven strings are arranged alternatlively.']"
Good or Bad string,"In this problem, a String S is composed of lowercase alphabets and wildcard characters i.e. '?'. Here, '?' can be replaced by any of the lowercase alphabets. Now you have to classify the given String on the basis of following rules:
If there are more than 3 consonants together or more than 5 vowels together, the String is considered to be ""BAD"". A String is considered ""GOOD"" only if it is not “BAD”.
NOTE: String is considered as ""BAD"" if the above condition is satisfied even once. Else it is ""GOOD"" and the task is to make the string ""BAD"".
 
Example 1:
Example 2:
Your Task:
You don't need to read input or print anything. Your task is to complete the function isGoodorBad() which takes the String S as input and returns 0 or 1.
 
Expected Time Complexity: O(|S|)
Expected Auxiliary Space: O(1)
 
Constraints:
1 <= |S| <= 100000","[""Input:\nS = aeioup??\nOutput:\n1\nExplanation: The String doesn't contain more\nthan 3 consonants or more than 5 vowels together.\nSo, it's a GOOD string."", 'Input:\nS = bcdaeiou??\nOutput:\n0\nExplanation: The String contains the\nSubstring ""aeiou??"" which counts as 7\nvowels together. So, it\'s a BAD string.']"
Extract Maximum,"Given a alphanumeric string S, extract maximum numeric value from S.
Example 1:
Example 2:
Your Task:  
You dont need to read input or print anything. Complete the function extractMaximum() which takes the string S as input parameters and returns the maximum numeric value. If it is not present in S, return -1.
 
Expected Time Complexity: O(|S|)
Expected Auxiliary Space: O(1)
 
Constraints:
1 ≤ |S| ≤ 104
-1 ≤ output value ≤ 106","['Input:\nS = 100klh564abc365bg\nOutput: 564\nExplanation: Maximum numeric value \namong 100, 564 and 365 is 564.', 'Input:\nS = abcdefg\nOutput: -1\nExplanation: Return -1 if no numeric \nvalue is present.']"
Reverse Words,"Given a String S, reverse the string without reversing its individual words. Words are separated by dots.
Example 1:
Example 2:
Your Task:
You dont need to read input or print anything. Complete the function reverseWords() which takes string S as input parameter and returns a string containing the words in reversed order. Each word in the returning string should also be separated by '.' 
Expected Time Complexity: O(|S|)
Expected Auxiliary Space: O(|S|)
Constraints:
1 <= |S| <= 105
 ","['Input:\nS = i.like.this.program.very.much\nOutput: much.very.program.this.like.i\nExplanation: After reversing the whole\nstring(not individual words), the input\nstring becomes\nmuch.very.program.this.like.i', 'Input:\nS = pqr.mno\nOutput: mno.pqr\nExplanation: After reversing the whole\nstring , the input string becomes\nmno.pqr']"
Implement strstr,"Your task is to implement the function strstr. The function takes two strings as arguments (s,x) and  locates the occurrence of the string x in the string s. The function returns an integer denoting the first occurrence of the string x in s (0 based indexing).
Note: You are not allowed to use inbuilt function.
 
Example 1:
 
Example 2:
 
Your Task:
You don't have to take any input. Just complete the strstr() function which takes two strings str, target as an input parameter. The function returns -1 if no match if found else it returns an integer denoting the first occurrence of the x in the string s.
 
Expected Time Complexity: O(|s|*|x|)
Expected Auxiliary Space: O(1)
Note : Try to solve the question in constant space complexity.
 
Constraints:
1 <= |s|,|x| <= 100","['Input:\ns = GeeksForGeeks, x = Fr\nOutput: -1\nExplanation: Fr is not present in the\nstring GeeksForGeeks as substring.', 'Input:\ns = GeeksForGeeks, x = For\nOutput: 5\nExplanation: For is present as substring\nin GeeksForGeeks from index 5 (0 based\nindexing).']"
Check for subsequence,"Given two strings A and B, find if A is a subsequence of B.
Example 1:
 
Example 2:
 
Your Task:  
You dont need to read input or print anything. Complete the function isSubSequence() which takes A and B as input parameters and returns a boolean value denoting if A is a subsequence of B or not. 
 
Expected Time Complexity: O(N) where N is length of string B.
Expected Auxiliary Space: O(1)
Constraints:
1<= |A|,|B| <=104
 ","[""Input:\nA = AXY \nB = YADXCP\nOutput: 0 \nExplanation: A is not a subsequence of B\nas 'Y' appears before 'A'."", 'Input:\nA = gksrek\nB = geeksforgeeks\nOutput: 1\nExplanation: A is a subsequence of B.']"
Strings Rotations of Each Other,"You are given two strings of equal lengths, s1 and s2. The task is to check if s2 is a rotated version of the string s1.
Note: The characters in the strings are in lowercase.
Example 1:
Example 2:
Your Task:
You don't have to read or print anything. The task is to complete the function areRotations() which takes two strings, s1 and s2 as inputs and checks if the two strings are rotations of each other. The function returns true if s1 can be obtained by rotating s2, else it returns false.
Expected Time Complexity: O( |s1| ).
Expected Space Complexity: O( |s1| ).
Constraints:
1 <= |s1|, |s2| <= 105","['Input:\ngeeksforgeeks\nforgeeksgeeks\nOutput: \n1\nExplanation: s1 is geeksforgeeks, s2 is\nforgeeksgeeks. Clearly, s2 is a rotated\nversion of s1 as s2 can be obtained by\nleft-rotating s1 by 5 units.', ""Input:\nmightandmagic\nandmagicmigth\nOutput: \n0\nExplanation: Here with any amount of\nrotation s2 can't be obtained by s1.""]"
Check if two strings are k-anagrams or not,"Given two strings of lowercase alphabets and a value K, your task is to complete the given function which tells if  two strings are K-anagrams of each other or not.
Two strings are called K-anagrams if both of the below conditions are true.
1. Both have same number of characters.
2. Two strings can become anagram by changing at most K characters in a string.
Example:
Your Task:
Since this is a function problem, you don't need to take any input. Just complete the given function areKAnagrams that returns true if the strings can be turned into K-anagrams, else return false.
Constraints:
1 ≤ length of String ≤ 105
1 ≤ K ≤ length of String","['Input:\nstr1 = ""fodr"", str2=""gork""\nk = 2\nOutput:\n1\nExplanation: Can change fd to gk']"
Uncommon characters,"Given two strings A and B consisting of lowercase english characters. Find the characters that are not common in the two strings. 
Note :- Return the string in sorted order.
Example 1:
Example 2:
Your Task:  
You dont need to read input or print anything. Complete the function UncommonChars() which takes strings A and B as input parameters and returns a string that contains all the uncommon characters in sorted order. If no such character exists return ""-1"".
Expected Time Complexity: O(M+N) where M and N are the sizes of A and B respectively.
Expected Auxiliary Space: O(M+N)  
Constraints:
1<= M,N <= 104
String may contain duplicate characters.
 ","[""Input:\nA = geeksforgeeks\nB = geeksquiz\nOutput: fioqruz\nExplanation: \nThe characters 'f', 'i', 'o', 'q', 'r', 'u','z' \nare either present in A or B, but not in both."", ""Input:\nA = characters\nB = alphabets\nOutput: bclpr\nExplanation: The characters 'b','c','l','p','r' \nare either present in A or B, but not in both.""]"
Anagram of String,"Given two strings S1 and S2 in lowercase, the task is to make them anagram. The only allowed operation is to remove a character from any string. Find the minimum number of characters to be deleted to make both the strings anagram. Two strings are called anagram of each other if one of them can be converted into another by rearranging its letters.
Example 1:
Example 2:
Your Task:
Complete the function remAnagram() which takes two strings S1, S2 as input parameter, and returns minimum characters needs to be deleted.
Expected Time Complexity: O(max(|S1|, |S2|)), where |S| = length of string S.
Expected Auxiliary Space: O(26)
Constraints:
1 <= |S1|, |S2| <= 105","['Input:\nS1 = bcadeh\nS2 = hea\nOutput: 3\nExplanation: We need to remove b, c\nand d from S1.', 'Input:\nS1 = cddgk\nS2 = gcd\nOutput: 2\nExplanation: We need to remove d and\nk from S1.']"
